DistrictName,Latitude,Longitude
Omorinaka,,
Akabanekita,,
Minamiikebukuro,35.7253435,139.715134
Yutakacho,35.6094482,139.72306768460484
Jindaijihigashimachi,,
Zoshigaya,35.7203241,139.7148032
Kuramae,35.7032122,139.790939
Kamiishiwara,35.6599054,139.5322373
Kikukawa,35.6883604,139.8061256
Nishishinagawa,,
Nakamura,35.7290015,139.7416257
Umejima,35.7723784,139.7980832
Sakurajosui,35.6675627,139.6320107
Haruecho,35.692291,139.887953
Ochiai,35.7106637,139.6859133
Kamijujo,35.7596624,139.7241132
Tokiwadai,35.7589153,139.6885362
Osugi,35.8037937,139.2813409
Kasuya,35.7256314,139.5803832
Minamishinozakimachi,,
Yaho,35.6814454,139.4465862
Sekido,35.6552102,139.4557877
Nishimachi,27.0942016,142.1896273
Uehara,35.6669782,139.6806824
Kaga,35.756764649999994,139.71629271890112
Gakuennishimachi,,
Nishisunacho,35.7326613,139.3638887
Shinden,35.774142350000005,139.742253348981
Kamiitabashi,35.74749905,139.681170854142
Myojincho,35.656119,139.343511
Naruse,35.5353877,139.4728465
Hatchobori,35.6750004,139.7770726
Minamitokiwadai,35.7564343,139.6892233
Shibasakicho,35.693234,139.4070345
Shoan,,
Omoriminami,,
Minamikamata,35.5542624,139.7270688
Sakai,35.7066696,139.543343
Egota,35.7256208,139.6679693
Chofugaoka,35.654321,139.5476029
Shirasagi,35.719538,139.6342738
Higashirokugo,35.5525407,139.7203928
Hatsudai,35.681446,139.686861
Nakagamicho,35.711499,139.3767214
Higashiasakawamachi,35.6452236,139.2923323
Nozutamachi,35.585428,139.4471239
Yamasakimachi,,
Nakamarucho,35.741459,139.70406
Den-enchofuhoncho,,
Nishiharacho,35.7387192,139.5312468
Takenotsuka,35.7944805,139.7908431
Kohoku,35.7739674,139.7703564
Kiba,35.669416,139.8065455
Hirao,35.60529045,139.48930461502988
Kitano,35.644382,139.3542656
Haramachi,35.70030365,139.72359216330375
Ryusen,35.724179,139.7909075
Higashikomagata,35.7065264,139.8045164
Toyotamanaka,35.7320314,139.6509941
Higashimagome,,
Kichijojiminamicho,,
Kawaguchimachi,35.6959079,139.2776401
Iwadominami,,
Taihei,35.7011295,139.81374393244937
Sekibara,35.76635055,139.78897349365602
Higashikojiya,35.5573381,139.7438994
Manganji,35.6712772,139.4200659
Kyonancho,35.6989464,139.5411554
Kichijojihoncho,,
Sotokanda,35.700675,139.768552
Renkoji,35.6349189,139.4648602
Hoyacho,35.7322182,139.5532586
Tatekawa,35.691291,139.804477
Yarimizu,35.61891,139.349939
Nogaya,35.6728409,139.5602659
Kojimacho,35.6490742,139.5415756
Akabane,35.7781394,139.7207999
Umegaoka,35.6562022,139.6542752
Toshincho,35.7571681,139.6813477536062
Nishihokima,35.8046232,139.8014353
Futaba,35.605115549999994,139.7250663949371
Naka,35.1661831,136.9096309
Minamiosawa,35.6102484,139.3856563
Higashitoyoda,35.66202525,139.3909321970949
Imagawa,35.7166039,139.6071456
Hanakoganeiminamicho,,
Hiroo,35.6522569,139.7175844
Kabukicho,35.6945429,139.7027105
Azabujuban,35.657322699999995,139.73879907091168
Umezato,35.6969116,139.6457468
Fujimachi,35.7308267,139.5638206
Horifune,35.7544118,139.7437027
Miyasaka,35.7013516,139.7400238
Higashinaganuma,35.6438696,139.5010284
Hon-isshiki,35.7183374,139.8739031
Oaza Hino,,
Oshitatecho,35.6565601,139.5098533
Nakaizumi,,
Zushimachi,35.587612,139.422778
Senju,35.75308055,139.80334470068863
Hagiyamacho,,
Kunugidamachi,35.636289,139.308945
Misuji,35.705522650000006,139.786356159506
Shin-ohashi,35.688384,139.7940055206821
Kasuga,35.7084783,139.7527482
Nagayama,35.63140665,139.4465355832554
Kosuge,35.7586732,139.8126428
Josuiminamicho,35.7120333,139.4856304
Oshiage,35.7104595,139.8126808
Mukogaoka,35.7195837,139.7558248
Kanai,35.5766543,139.4606403
Higashiyama,35.6465579,139.692986
Kaidori,35.6202631,139.442642
Nishinakanobu,35.609267,139.7084914
Nihombashiningyocho,,
Kashiwacho,35.7261117,139.4129635
Honda,35.7071175,139.4815393
Gakuenhigashicho,,
Nagabuchi,35.7756017,139.2695076
Kahei,35.7783718,139.82739558588617
Nagabusamachi,35.654616,139.29532
Nishihara,35.67356885,139.67924797028576
Kamisunacho,35.7253975,139.3919768
Ohara,35.6695696,139.6618404
Minato,35.6432274,139.7400553
Toyotamakami,,
Tokura,35.7239297,139.2019778
Nishi,35.68991545,139.69180175550062
Haginaka,35.5511001,139.7317797
Honhaneda,35.5457031,139.7316232
Naritanishi,35.6885005,139.6276769
Uchikoshimachi,35.640548,139.351751
Nishiichinoe,35.7027931,139.8784189
Kojiyahoncho,,
Motoasakusa,35.709051900000006,139.78514681667775
Tamagawadai,35.59040275,139.66589959996531
Daimachi,35.6936558,139.7188626
Hachiman-yama,35.6696056,139.6165831
Nishikata,35.7111592,139.7527104
Bunka,35.7093979,139.8241097
Irifune,35.67174915,139.77689693916437
,27.7755045,93.474237
Hitotsuya,35.7817608,139.8137144805512
Misumicho,,
Kitamagome,,
Nishikubo,35.710347,139.5579926
Gohongi,35.6322843,139.6867456
Kanamecho,35.7332405,139.6986842
Toyotamaminami,35.7274461,139.6545727
Iwadokita,35.6409067,139.584196215961
Kanaimachi,35.5744159,139.4492997
Kitanomachi,35.650139,139.354715
Sekimae,35.7122046,139.5518286
Takamatsucho,35.7063727,139.4181981
Momijigaoka,35.6740435,139.5096913
Shinkamata,35.5599561,139.7088259
Okamoto,35.6828364,139.5836852
Onumacho,35.734248,139.500826
Minamisawa,35.722802,139.049533
Ohanajaya,35.7476077,139.8401484
Maesawa,35.7487742,139.5146584
Morino,35.5506935,139.4376577
Higashimotomachi,35.694032,139.482646
Ishikawamachi,35.6755034,139.365707
Kichijojihigashicho,,
Higashiazabu,35.655135,139.744449
Noguchicho,,
Matsubaracho,35.7176691,139.3434057
Hiyoshicho,35.661383,139.313625
Motohachiojimachi,,
Naraharamachi,35.6838337,139.3031207
Shimmeidai,,
Yatocho,35.7399323,139.545304
Hagoromocho,35.6922101,139.4272972
Futabacho,35.757975,139.698913
Kotakecho,35.743158,139.676614
Mishuku,35.6470779,139.6780719
Miyamotocho,35.7639879,139.7005799
Toyogaoka,35.618456,139.4352319
Koshino,35.630231,139.388327
Akatsukicho,35.6685959,139.3356594
Jindaijikitamachi,,
Kajinocho,35.7084743,139.5294849
Ariake,35.6281988,139.79314405732487
Tomihisacho,35.693561,139.715184
Mutsugi,35.794443599999994,139.84088844094418
Noshio,,
Jiyuugaoka,35.6049039,139.66602848517826
Hazawa,35.7450148,139.670857
Oyamacho,35.7485391,139.6997333
Kohinata,35.7152294,139.7346018
Matsugaoka,35.7207248,139.6706566
Inadaira,,
Eharacho,35.7300553,139.6701027
Nangai,,
Minaminaruse,35.5372205,139.4712403
Noge,35.6049369,139.64305365985982
Higashinogawa,,
Kogasaka,35.544692,139.460359
Sennincho,35.656337,139.306919
Fuchucho,35.6757927,139.4860437
Kamishinozaki,35.7119224,139.899345
Oyamahigashicho,,
Nishiayase,35.7640762,139.8169334
Irimacho,35.6532553,139.5914766
Komatsugawa,35.699191,139.8628107
Nakajuku,35.7553466,139.7098504
Miyanishicho,35.67045,139.474977
Musashino,35.712898,139.563534
Akatsukashimmachi,,
Tadao,35.5774141,139.4170855
Kamiyugi,35.623189,139.36888
Minami,35.6927095,139.699506
Kisonishi,35.5650045,139.4182758
Kikunodai,35.6527285,139.5693497
Naganumamachi,35.642169,139.367759
Misono,,
Ookayama,35.6074796,139.6858386
Kotobuki,35.6505728,139.7215477
Kandajimbocho,,
Nakane,35.6160481,139.6732557
Shimizucho,35.7648164,139.7068162
Shibasaki,35.6542424,139.5670439
Minamisenzoku,35.6035882,139.6975112
Imokubo,35.7560128,139.4128877
Omaru,35.6485197,139.4918262
Chigasemachi,35.7859476,139.270187
Shimosato,35.7551014,139.5067138
Tatemachi,35.6330402,139.2958469
Shimoishiwara,35.6566175,139.539761
Yokokawa,35.704433,139.812169
Tairamachi,35.691867,139.35896
Suwa,35.7067104,139.7188192
Ogibashi,35.6833314,139.81535987916624
Mihoricho,35.7209095,139.3540492
Jindaiji,35.6884547,139.5442341
Komaba,35.655695,139.6823652
Ebisunishi,35.6469714,139.70404075188787
Nihombashihoridomecho,,
Gakuen,35.6578683,139.5892251
Etchujima,35.6679059,139.7926094
Miyazawacho,35.7134051,139.3720415
Matsunoki,35.69077205,139.64362113918585
Shimoongatamachi,35.6657412,139.2511983
Okuramachi,35.589,139.464543
Namikicho,35.65321,139.303219
Sakurashimmachi,,
Takaramachi,35.741857,139.836518
Hasunumacho,35.7706619,139.7032367
Yokokawamachi,35.665159,139.302223
Mogusa,35.6456379,139.4190901
Maruyama,35.7248066,139.6519549
Odai,35.7505238,139.7623959
Higashiiko,35.8058935,139.7870779
Matsugi,35.6223477,139.392834
Higashiayase,35.7654494,139.8328805
Tamazutsumi,35.596223,139.6503572
Tabatashimmachi,,
Hanegi,35.6657711,139.65731753122088
Toranomon,35.67015,139.750011
Maruyamacho,35.6576798,139.6950285
Yagisawa,35.7266214,139.5498743
Dogenzaka,35.65812405,139.69852093868928
Unane,35.6192533,139.606128
Narusedai,35.5596383,139.4765871
Honshukucho,35.6725283,139.4613822
Okura,35.6977246,139.6700197
Ichigayayakuojimachi,,
Nishimagome,35.58280115,139.6990132736123
Tsukushino,35.5276368,139.4851103
Wakabadai,35.6192473,139.4724072
Hodokubo,35.6552984,139.4107973
Takaban,35.6259042,139.6897348
Sano,35.787378700000005,139.84085682163993
Koyanagicho,35.6651765,139.5040555
Inumemachi,35.68963,139.307724
Ogawahigashicho,35.7348152,139.477858
Imai,35.8015409,139.3134528
Kumanocho,35.7428442,139.7067121
Shimohoya,35.7510848,139.5635879
Oyamadai,35.6070206,139.6537448
Hamamatsucho,35.6551111,139.7570622
Tamagawacho,35.705264,139.3771388
Hazamamachi,35.63541,139.284069
Oyaguchikitacho,,
Nakai,35.7150987,139.6863011
Shimoyugi,35.630028,139.374757
Hikaricho,35.703297,139.441202
Higashihorikiri,,
Nishikoigakubo,35.7031189,139.4683797
Matsuyama,35.57704645,139.68139722103246
Mukohara,35.7290407,139.7250932
Musashinodai,35.6642284,139.5109606
Chitose,35.6903221,139.79576208148285
Nishifucho,35.674804,139.455484
Yochomachi,35.6962861,139.7160422
Hirayama,35.7047949,139.76629635
Nakanokamicho,35.6670856,139.3303859
Hibarigaoka,35.7515231,139.5455333
Kita,35.755838,139.736687
Ozakudai,35.7735592,139.3024006
Kobikimachi,35.639657,139.323427
Minamikugahara,,
Sambancho,,
Ichinomiya,35.651631,139.4377114
Iidabashi,35.7031771,139.7456694
Wasedatsurumakicho,,
Nakakiyoto,,
Ishikawacho,35.6027101,139.6826152
Miwamidoriyama,35.5714498,139.486276
